ДОБАВИТЬ_МАГАЗИН Пятерочка
ДОБАВИТЬ_МАГАЗИН Магнит
ДОБАВИТЬ_ТОВАР Сыр 200
ДОБАВИТЬ_ТОВАР Макароны 100
ДОБАВИТЬ_ТОВАР Творог 70
ДОБАВИТЬ_ТОВАР Морковь 1000
ДОБАВИТЬ_ТОВАР Колбаса 300
ДОБАВИТЬ_ТОВАР Томат 55
ДОБАВИТЬ_ТОВАР Картофель 43
ДОБАВИТЬ_ТОВАР Йогурт 15
ДОБАВИТЬ_ТОВАР Апельсины 300
ВЫСТАВИТЬ_ТОВАР Сыр Пятерочка
ВЫСТАВИТЬ_ТОВАР Йогурт Пятерочка
ВЫСТАВИТЬ_ТОВАР Томат Магнит
ВЫСТАВИТЬ_ТОВАР Творог Пятерочка
ВЫСТАВИТЬ_ТОВАР Творог Магнит
ВЫСТАВИТЬ_ТОВАР Морковь Пятерочка
ВЫСТАВИТЬ_ТОВАР Колбаса Магнит
ВЫСТАВИТЬ_ТОВАР Макароны Магнит
ВЫСТАВИТЬ_ТОВАР Апельсины Магнит
СТОП
